"รหัสสถานี","เขต","สถานี","วัน-เวลา","ฝน 5 นาที","ฝน 15 นาที","ฝน 30 นาที","ฝน 1 ชม.","ฝน 3 ชม.","ฝน 6 ชม.","ฝน 12 ชม.","ฝน 24 ชม.","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 00:00","0.0","0.0","0.0","0.0","0.0","0.5","0.5","8.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 00:05","0.0","0.0","0.0","0.0","0.0","0.5","0.5","8.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 00:10","0.0","0.0","0.0","0.0","0.0","0.5","0.5","8.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 00:15","0.0","0.0","0.0","0.0","0.0","0.5","0.5","8.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 00:20","0.0","0.0","0.0","0.0","0.0","0.5","0.5","8.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 00:25","0.0","0.0","0.0","0.0","0.0","0.5","0.5","8.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 00:30","0.0","0.0","0.0","0.0","0.0","0.5","0.5","8.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 00:35","0.0","0.0","0.0","0.0","0.0","0.5","0.5","8.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 00:40","0.0","0.0","0.0","0.0","0.0","0.5","0.5","8.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 00:45","0.0","0.0","0.0","0.0","0.0","0.5","0.5","8.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 00:50","0.0","0.0","0.0","0.0","0.0","0.5","0.5","8.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 00:55","0.0","0.0","0.0","0.0","0.0","0.5","0.5","8.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 01:00","0.0","0.0","0.0","0.0","0.0","0.5","0.5","8.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 01:05","0.0","0.0","0.0","0.0","0.0","0.5","0.5","8.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 01:10","0.0","0.0","0.0","0.0","0.0","0.5","0.5","8.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 01:15","0.0","0.0","0.0","0.0","0.0","0.5","0.5","8.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 01:20","0.0","0.0","0.0","0.0","0.0","0.5","0.5","8.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 01:25","0.0","0.0","0.0","0.0","0.0","0.5","0.5","8.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 01:30","0.0","0.0","0.0","0.0","0.0","0.5","0.5","8.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 01:35","0.0","0.0","0.0","0.0","0.0","0.5","0.5","8.0","ดูข้อมูล"
