Location Description,Node Id,Sample Time,Onboard Temperature, Onboard Battery,Channel,Sensor Model,Sensor Type,Offset,Value,Units,
IX-Tilt-Demo 2,00:1B:C5:0A:A0:01:3C:C9,9/26/2025 16:00,33.27,0,0,FM3 Battery Voltage,FM3 Onboard Battery Voltage,0,3.638,V,1
IX-Tilt-Demo 2,00:1B:C5:0A:A0:01:3C:C9,9/26/2025 16:05,33.11,0,0,FM3 Battery Voltage,FM3 Onboard Battery Voltage,0,3.662,V,0
IX-Tilt-Demo 2,00:1B:C5:0A:A0:01:3C:C9,9/26/2025 16:10,33.74,0,0,FM3 Battery Voltage,FM3 Onboard Battery Voltage,0,3.651,V,0
IX-Tilt-Demo 2,00:1B:C5:0A:A0:01:3C:C9,9/26/2025 16:15,33.74,0,0,FM3 Battery Voltage,FM3 Onboard Battery Voltage,0,3.657,V,0
IX-Tilt-Demo 2,00:1B:C5:0A:A0:01:3C:C9,9/26/2025 16:20,32.95,0,0,FM3 Battery Voltage,FM3 Onboard Battery Voltage,0,3.657,V,0
IX-Tilt-Demo 2,00:1B:C5:0A:A0:01:3C:C9,9/26/2025 16:35,33.11,0,0,FM3 Battery Voltage,FM3 Onboard Battery Voltage,0,3.655,V,0
IX-Tilt-Demo 2,00:1B:C5:0A:A0:01:3C:C9,9/26/2025 16:50,32.47,0,0,FM3 Battery Voltage,FM3 Onboard Battery Voltage,0,3.657,V,0
IX-Tilt-Demo 2,00:1B:C5:0A:A0:01:3C:C9,9/26/2025 17:05,31.68,0,0,FM3 Battery Voltage,FM3 Onboard Battery Voltage,0,3.66,V,0
IX-Tilt-Demo 2,00:1B:C5:0A:A0:01:3C:C9,9/26/2025 17:20,31.68,0,0,FM3 Battery Voltage,FM3 Onboard Battery Voltage,0,3.656,V,0
IX-Tilt-Demo 2,00:1B:C5:0A:A0:01:3C:C9,9/26/2025 17:35,31.52,0,0,FM3 Battery Voltage,FM3 Onboard Battery Voltage,0,3.654,V,0
IX-Tilt-Demo 2,00:1B:C5:0A:A0:01:3C:C9,9/26/2025 17:50,31.04,0,0,FM3 Battery Voltage,FM3 Onboard Battery Voltage,0,3.655,V,0
IX-Tilt-Demo 2,00:1B:C5:0A:A0:01:3C:C9,9/26/2025 18:05,30.72,0,0,FM3 Battery Voltage,FM3 Onboard Battery Voltage,0,3.655,V,0
IX-Tilt-Demo 2,00:1B:C5:0A:A0:01:3C:C9,9/26/2025 18:20,30.56,0,0,FM3 Battery Voltage,FM3 Onboard Battery Voltage,0,3.651,V,0
IX-Tilt-Demo 2,00:1B:C5:0A:A0:01:3C:C9,9/26/2025 18:35,29.93,0,0,FM3 Battery Voltage,FM3 Onboard Battery Voltage,0,3.651,V,0
IX-Tilt-Demo 2,00:1B:C5:0A:A0:01:3C:C9,9/26/2025 18:50,29.77,0,0,FM3 Battery Voltage,FM3 Onboard Battery Voltage,0,3.653,V,0
IX-Tilt-Demo 2,00:1B:C5:0A:A0:01:3C:C9,9/26/2025 19:05,28.97,0,0,FM3 Battery Voltage,FM3 Onboard Battery Voltage,0,3.656,V,0
IX-Tilt-Demo 2,00:1B:C5:0A:A0:01:3C:C9,9/26/2025 19:20,29.29,0,0,FM3 Battery Voltage,FM3 Onboard Battery Voltage,0,3.656,V,0
IX-Tilt-Demo 2,00:1B:C5:0A:A0:01:3C:C9,9/26/2025 19:35,29.45,0,0,FM3 Battery Voltage,FM3 Onboard Battery Voltage,0,3.655,V,0
IX-Tilt-Demo 2,00:1B:C5:0A:A0:01:3C:C9,9/26/2025 19:50,29.29,0,0,FM3 Battery Voltage,FM3 Onboard Battery Voltage,0,3.655,V,0
IX-Tilt-Demo 2,00:1B:C5:0A:A0:01:3C:C9,9/26/2025 20:05,29.13,0,0,FM3 Battery Voltage,FM3 Onboard Battery Voltage,0,3.651,V,0
IX-Tilt-Demo 2,00:1B:C5:0A:A0:01:3C:C9,9/26/2025 20:20,29.13,0,0,FM3 Battery Voltage,FM3 Onboard Battery Voltage,0,3.656,V,0
IX-Tilt-Demo 2,00:1B:C5:0A:A0:01:3C:C9,9/26/2025 20:35,28.66,0,0,FM3 Battery Voltage,FM3 Onboard Battery Voltage,0,3.658,V,0
IX-Tilt-Demo 2,00:1B:C5:0A:A0:01:3C:C9,9/26/2025 20:50,29.13,0,0,FM3 Battery Voltage,FM3 Onboard Battery Voltage,0,3.657,V,0
IX-Tilt-Demo 2,00:1B:C5:0A:A0:01:3C:C9,9/26/2025 21:05,28.81,0,0,FM3 Battery Voltage,FM3 Onboard Battery Voltage,0,3.653,V,0
IX-Tilt-Demo 2,00:1B:C5:0A:A0:01:3C:C9,9/26/2025 21:20,28.97,0,0,FM3 Battery Voltage,FM3 Onboard Battery Voltage,0,3.656,V,0
IX-Tilt-Demo 2,00:1B:C5:0A:A0:01:3C:C9,9/26/2025 21:35,28.97,0,0,FM3 Battery Voltage,FM3 Onboard Battery Voltage,0,3.655,V,0
